source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[pooled sample]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
con4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=normal;AC=PATO:0000461	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	4	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	251120_con4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461
con4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=normal;AC=PATO:0000461	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	4	run 12	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	251120_con4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461
con5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=normal;AC=PATO:0000461	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	5	run 13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	251120_con5_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461
con5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=normal;AC=PATO:0000461	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	5	run 14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	251120_con5_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461
con5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=normal;AC=PATO:0000461	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	5	run 15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	251120_con5_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=normal;AC=PATO:0000461
ov1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	1	run 16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	251120_ov1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	251120_ov1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	251120_ov1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	2	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	251120_ov2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	2	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	251120_ov2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	2	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	251120_ov2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	3	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	251120_ov3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	3	run 23	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	251120_ov3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
ov3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=blood plasma;AC=UBERON:0001969	not applicable	NT=opisthorchiasis;AC=MONDO:0005884	organism part	pooled	pooled	not available	NT=adult;AC=EFO:0001272	pooled	not applicable	3	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	251120_ov3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	NT=opisthorchiasis;AC=MONDO:0005884
blank1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NT=empty;AC=PRIDE:0000903	1	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	261120_blank01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not applicable
blank2	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NT=empty;AC=PRIDE:0000903	2	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.1 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	261120_blank02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not applicable
