source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[cohort]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[period of gestation]	factor value[cohort]
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	20	RCB_SALI_TB_F20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	21	RCB_SALI_TB_F21.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	22	RCB_SALI_TB_F22.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	23	RCB_SALI_TB_F23.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	24	RCB_SALI_TB_F24.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	25	RCB_SALI_TB_F25.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	26	RCB_SALI_TB_F26.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	27	RCB_SALI_TB_F27.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	28	RCB_SALI_TB_F28.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	29	RCB_SALI_TB_F29.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	3	RCB_SALI_TB_F3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	30	RCB_SALI_TB_F30.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	31	RCB_SALI_TB_F31.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	32	RCB_SALI_TB_F32.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	33	RCB_SALI_TB_F33.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	34	RCB_SALI_TB_F34.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	35	RCB_SALI_TB_F35.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	36	RCB_SALI_TB_F36.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	37	RCB_SALI_TB_F37.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	38	RCB_SALI_TB_F38.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	39	RCB_SALI_TB_F39.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	4	RCB_SALI_TB_F4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	40	RCB_SALI_TB_F40.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	41	RCB_SALI_TB_F41.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	42	RCB_SALI_TB_F42.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	43	RCB_SALI_TB_F43.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	44	RCB_SALI_TB_F44.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	45	RCB_SALI_TB_F45.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	46	RCB_SALI_TB_F46.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	47	RCB_SALI_TB_F47.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	48	RCB_SALI_TB_F48.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	49	RCB_SALI_TB_F49.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	5	RCB_SALI_TB_F5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	50	RCB_SALI_TB_F50.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	51	RCB_SALI_TB_F51.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	52	RCB_SALI_TB_F52.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	53	RCB_SALI_TB_F53.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	6	RCB_SALI_TB_F6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	7	RCB_SALI_TB_F7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	8	RCB_SALI_TB_F8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALI_TB_pooled_library	Homo sapiens	Saliva	normal	pooled	pooled	spectral library	RCB_SALI_TB_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	9	RCB_SALI_TB_F9.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	not applicable	spectral library
RCB_SALM_TB_E00198_V1	Homo sapiens	Saliva	normal	1	E00198	validation	RCB_SALM_TB_E00198_V1.1	proteomic profiling by mass spectrometry	NT=selected reaction monitoring;AC=PRIDE:0000630	NT=label free sample;AC=MS:1002038	NT=QTRAP 6500+;AC=MS:1002582	NT=Trypsin;AC=MS:1001251	1	1	RCB_SALM_TB_E00198_V1.1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	V1	validation
RCB_SALM_TB_E00198_V1	Homo sapiens	Saliva	normal	1	E00198	validation	RCB_SALM_TB_E00198_V1.2	proteomic profiling by mass spectrometry	NT=selected reaction monitoring;AC=PRIDE:0000630	NT=label free sample;AC=MS:1002038	NT=QTRAP 6500+;AC=MS:1002582	NT=Trypsin;AC=MS:1001251	2	1	RCB_SALM_TB_E00198_V1.2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	manual curation	V1	validation
