source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[elution conditions]	comment[author experiment]	comment[annotation provenance]	factor value[source name]
PXD034788_A375_OE1_classI	Homo sapiens	skin of leg	not available	1	not pooled	study sample	amelanotic melanoma	cell line	PSMB8 and PSMB9 overexpression	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	A375_OE1.PSMB8.9	proteomic profiling by mass spectrometry	1	A375_OE1.PSMB8.9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano		All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_OE1_classI
PXD034788_A375_OE2_classI	Homo sapiens	skin of leg	not available	2	not pooled	study sample	amelanotic melanoma	cell line	PSMB8 and PSMB9 overexpression	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	A375_OE2.PSMB8.9	proteomic profiling by mass spectrometry	1	A375_OE2.PSMB8.9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano		All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_OE2_classI
PXD034788_A375_OE3_classI	Homo sapiens	skin of leg	not available	3	not pooled	study sample	amelanotic melanoma	cell line	PSMB8 and PSMB9 overexpression	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	A375_OE3.PSMB8.9	proteomic profiling by mass spectrometry	1	A375_OE3.PSMB8.9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano		All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_OE3_classI
PXD034788_MD55A3_IFN1_classII	Homo sapiens	not available	not available	1	not pooled	study sample	melanoma	cell line	interferon gamma	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-IFN-1-500-HLA-II_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-1-500-HLA-II_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3-IFN-1-500-HLA-II	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_IFN1_classII
PXD034788_MD55A3_IFN1_classI	Homo sapiens	not available	not available	1	not pooled	study sample	melanoma	cell line	interferon gamma	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-IFN-1-500-HLA-I_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-1-500-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3_IFN1-I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_IFN1_classI
PXD034788_MD55A3_IFN2_classII	Homo sapiens	not available	not available	2	not pooled	study sample	melanoma	cell line	interferon gamma	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-IFN-2-500-HLA-II_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-2-500-HLA-II_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3-IFN-2-500-HLA-II	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_IFN2_classII
PXD034788_MD55A3_IFN2_classI	Homo sapiens	not available	not available	2	not pooled	study sample	melanoma	cell line	interferon gamma	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-IFN-2-500-HLA-I_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-IFN-2-500-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3_IFN2-I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_IFN2_classI
PXD034788_MD55A3_NT1_classII	Homo sapiens	not available	not available	1	not pooled	study sample	melanoma	cell line	untreated	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-NT1-HLA-II_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT1-HLA-II_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3-NT1-HLA-II	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_NT1_classII
PXD034788_MD55A3_NT1_classI	Homo sapiens	not available	not available	1	not pooled	study sample	melanoma	cell line	untreated	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-NT1-HLA-I_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT1-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3_mIFN1-I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_NT1_classI
PXD034788_MD55A3_NT2_classII	Homo sapiens	not available	not available	2	not pooled	study sample	melanoma	cell line	untreated	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-NT2-HLA-II_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT2-HLA-II_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3-NT2-HLA-II	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_NT2_classII
PXD034788_MD55A3_NT2_classI	Homo sapiens	not available	not available	2	not pooled	study sample	melanoma	cell line	untreated	not synthetic	not available	not available	not available	MD55	MD55A3	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_10348_YSA_MD55A3-NT2-HLA-I_1_311019	proteomic profiling by mass spectrometry	1	QEP2_10348_YSA_MD55A3-NT2-HLA-I_1_311019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	MD55A3_mIFN2-I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_MD55A3_NT2_classI
PXD034788_A375_IFN1_IFNexp_classI	Homo sapiens	skin of leg	not available	1	not pooled	study sample	amelanotic melanoma	cell line	interferon gamma	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_13046_YSA_917_1_301220	proteomic profiling by mass spectrometry	1	QEP2_13046_YSA_917_1_301220.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	A375-INF-1-HLA I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_IFN1_IFNexp_classI
PXD034788_A375_IFN2_IFNexp_classI	Homo sapiens	skin of leg	not available	2	not pooled	study sample	amelanotic melanoma	cell line	interferon gamma	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_13046_YSA_918_1_301220	proteomic profiling by mass spectrometry	1	QEP2_13046_YSA_918_1_301220.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	A375-INF-2-HLA I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_IFN2_IFNexp_classI
PXD034788_A375_IFN3_IFNexp_classI	Homo sapiens	skin of leg	not available	3	not pooled	study sample	amelanotic melanoma	cell line	interferon gamma	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_13046_YSA_919_1_301220	proteomic profiling by mass spectrometry	1	QEP2_13046_YSA_919_1_301220.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	A375-INF-3-HLA I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_IFN3_IFNexp_classI
PXD034788_A375_CNTRL1_IFNexp_classI	Homo sapiens	skin of leg	not available	1	not pooled	study sample	amelanotic melanoma	cell line	untreated	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_13046_YSA_920_1_301220	proteomic profiling by mass spectrometry	1	QEP2_13046_YSA_920_1_301220.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	A375-CNTRL-1-HLA I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_CNTRL1_IFNexp_classI
PXD034788_A375_CNTRL2_IFNexp_classI	Homo sapiens	skin of leg	not available	2	not pooled	study sample	amelanotic melanoma	cell line	untreated	not synthetic	European ancestry	54Y	female	not applicable	A375	CVCL_0132	A-375	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	not available	QEP2_13046_YSA_921_1_301220	proteomic profiling by mass spectrometry	1	QEP2_13046_YSA_921_1_301220.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	not applicable	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	not available	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	A375-CNTRL-2-HLA I	All acquisition-to-experiment assignments join deposited human_class1/human_class2/mouse MaxQuant summary tables, normalizing spaces versus underscores only. Per-file native RAW headers identify Q Exactive Plus; collision energy is read from each native method. PMC10119686 Methods distinguishes MD-Anderson patient tumour specimens from cultured lines; their specimen codes are retained and numeric patient IDs link related tissues. Saved search parameters specify unspecific cleavage, Ox/NAc variable and no fixed modifications, 20 ppm FTMS fragment tolerance.	PXD034788_A375_CNTRL2_IFNexp_classI
