source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[culture medium]	characteristics[biorepository]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[treatment]	characteristics[sampling time]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[alkylation reagent]	comment[reduction reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[acquisition date]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]	factor value[treatment]
BGC823_AEG1_IP_untreated	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=endocervical adenocarcinoma;AC=MONDO:0000554	NT=epithelial cell of cervix;AC=CL:0002535	cell line	NT=BGC-823 cell;AC=CLO:0001952	CVCL_3360	BGC-823	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	ATCC	not available	not available	untreated	not available	study sample	1	InGel_sample_1_20211227	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=label free sample;AC=MS:1002038	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	10 ppm	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	NT=SDS PAGE;AC=PRIDE:0000568	1	1	InGel_sample_1_20211227.raw	2021-12-27	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=BGC-823 cell;AC=CLO:0001952	untreated
BGC823_AEG1_IP_CXCL12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=endocervical adenocarcinoma;AC=MONDO:0000554	NT=epithelial cell of cervix;AC=CL:0002535	cell line	NT=BGC-823 cell;AC=CLO:0001952	CVCL_3360	BGC-823	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	ATCC	not available	not available	NT=stromal cell-derived factor 1;AC=NCIT:C28774	1 hour	study sample	1	InGel_sample_2_20211227	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=label free sample;AC=MS:1002038	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	10 ppm	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	NT=SDS PAGE;AC=PRIDE:0000568	1	1	InGel_sample_2_20211227.raw	2021-12-27	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=BGC-823 cell;AC=CLO:0001952	NT=stromal cell-derived factor 1;AC=NCIT:C28774
HEK293T_Flag-PPP1R21_IP	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=normal;AC=PATO:0000461	NT=kidney epithelial cell;AC=CL:0002518	cell line	NT=HEK293T cell;AC=CLO:0037372	CVCL_0063	HEK293T	NT=kidney;AC=UBERON:0002113	NT=embryo stage;AC=EFO:0007725	not available	female	not available	not applicable	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	ATCC	not available	not available	untreated	not applicable	study sample	1	Ingel_Treat_20241018	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600+;AC=MS:1002584	NT=label free sample;AC=MS:1002038	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	10 ppm	not available	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	NT=SDS PAGE;AC=PRIDE:0000568	1	1	Ingel_Treat_20241018.raw	2024-10-18	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=HEK293T cell;AC=CLO:0037372	untreated
